book_id,title,description,language_code
16031390,"The Injustice of Being (Campus Cravings, #16)","Sometimes justice is worth risking everything for.
After a hung jury results in a mistrial for alleged rapist, Paul ""Jigger"" Robinson, victim Eric Kloiber and Will James, the detective in charge of the case, must come to terms with the possibility that Jigger may well get away with his crimes.
When Will sees the despair plaguing Eric, he becomes determined to leave no stone unturned in his search for more evidence against Jigger. In the midst of his ongoing investigation, Will begins to feel protective towards Eric and soon the two embark in a risky affair.
Despite his new feelings for the hunky detective, Eric can't stop his obsession with making Jigger pay for what he's done. If the justice system won't help, Eric vows to take Jigger down on his own, even if it means putting himself in danger. When Eric's pursuit of vengeance gets in the way of Will's investigation, the two must come to an agreement or risk losing everything, including their relationship.",eng
23209328,The Greatship,"Since the beginning of the universe, the giant starship wandered the emptiest reaches of space, without crew or course, much less any clear purpose. But humans found the relic outside the Milky Way, and after taking possession, they named their prize the Great Ship and embarked on a bold voyage through the galaxy's civilized hearts.
Larger than worlds, the Great Ship is laced with caverns and oceans, scenes of exalted beauty and corners where no creature has ever stood. Habitats can be created for every intelligent species, provided that the passengers can pay for the honor of a berth, and the human captains make the rules and dispense the justice in what soon becomes thousands of alien species joined a wild, unpredictable journey.
The first Great Ship story was ""The Remoras"", published in 1994 by THE MAGAZINE OF FANTASY AND SCIENCE FICTION. All but the most recent titles in the series have been included in this volume, arranged in a rough chronological order, each story partly rewritten to capture the author's growing expertise in the starship. New material has been added to bridge the centuries, hopefully enriching the resident confusion.
Robert Reedis the author of a dozen science fiction novels, including two titles about the Great Ship: MARROW and THE WELL OF STARS, both from Tor Books. He has also published more than two hundred shorter works, winning a Hugo in 2007 for his novella, ""A Billion Eves"". Reed is a long-term resident of Lincoln, Nebraska.",eng
24622897,"Closer to the Heart (Valdemar: The Herald Spy, #2)","Mags was a Herald of Valdemar. But he had once lived the brutal life of a child slave. When he was Chosen by his Companion Dallen, his young life was saved, and he slowly adjusted to being well fed, educated, and treasured as a trainee in the Herald's Collegium at Haven. Singled out by the King's Own Herald, Mags would thrive in his secret training as a spy. His unusually strong Gift--an ability to Mindspeak and Mindhear anyone, not just others who were Gifted--made him a perfect undercover agent for the king.
Sequel to Mercedes Lackey's Closer to Home, this adventure continues Mags's journey as Valdemar's herald spy.",eng
27230310,Kian,"Dark. Mysterious. Gorgeous.
Loved by all the girls.
Respected by all the guys.
...that was Kian Maston.
As the heir to a billion dollar empire, his future was promising until the day he saved my life. Everything changed for both of us, and there was one more word that could be used to describe him--dangerous.
The nation fell in love with him while falling in hate with me. He was sent to prison, and as far as they were concerned, it was my fault. I was forced to go into hiding until today.
Kian's being released from prison, and he should go back to being the golden boy he always was supposed to be. I should remain in hiding, living my life as normal as could be.
That's what we should do...",eng
34971102,The Dark of Light (Starhawke Rising #1),"One light can reveal a hundred dark secrets.
Captain Aurora Hawke loves a challenge. But her first mission comes with an unexpected catch. She has to accept the help of Cade Ellis, a man she's spent years trying to forget. She doesn't want his help. She wants to blow him out an airlock. Or let Jonarel Clarek, her overprotective engineer, tear him to pieces with his bare hands. Instead, she must convince the two hot-headed males to work together without killing each other.
She'll do whatever it takes. The survival of a planet depends on it. But what starts out as an investigation into a potential biological attack quickly reveals a much more insidious threat, thrusting Aurora into a face-to-face confrontation with a mysterious enemy of incredible destructive power.
And triggering an unearthly ability she's kept secret for twenty years...",eng
30237404,An Extraordinary Union (The Loyal League #1),"As the Civil War rages between the states, a courageous pair of spies plunge fearlessly into a maelstrom of ignorance, deceit, and danger, combining their unique skills to alter the course of history and break the chains of the past . . .
Elle Burns is a former slave with a passion for justice and an eidetic memory. Trading in her life of freedom in Massachusetts, she returns to the indignity of slavery in the South--to spy for the Union Army.
Malcolm McCall is a detective for Pinkerton's Secret Service. Subterfuge is his calling, but he's facing his deadliest mission yet--risking his life to infiltrate a Rebel enclave in Virginia.
Two undercover agents who share a common cause--and an undeniable attraction--Malcolm and Elle join forces when they discover a plot that could turn the tide of the war in the Confederacy's favor. Caught in a tightening web of wartime intrigue, and fighting a fiery and forbidden love, Malcolm and Elle must make their boldest move to preserve the Union at any cost--even if it means losing each other . . .",eng
470378,Go Tell It on the Mountain,"First published in 1953 when James Baldwin was nearly 30, Go Tell It on the Mountainis a young man's novel, as tightly coiled as a new spring, yet tempered by a maturing man's confidence and empathy. It's not a long book, and its action spans but a single day--yet the author packs in enough emotion, detail, and intimate revelation to make his story feel like a mid-20th-century epic. Using as a frame the spiritual and moral awakening of 14-year-old John Grimes during a Saturday night service in a Harlem storefront church, Baldwin lays bare the secrets of a tormented black family during the depression. John's parents, praying beside him, both wrestle with the ghosts of their sinful pasts--Gabriel, a preacher of towering hypocrisy, fathered an illegitimate child during his first marriage down South and refused to recognize his doomed bastard son; Elizabeth fell in love with a charming, free-spirited young man, followed him to New York, became pregnant with his son, and lost him before she could reveal her condition. Baldwin lays down the terrible symmetries of these two blighted lives as the ironic context for John's dark night of the soul. When day dawns, John believes himself saved, but his creator makes it clear that this salvation arises as much from blindness as revelation: ""He was filled with a joy, a joy unspeakable, whose roots, though he would not trace them on this new day of his life, were nourished by the wellspring of a despair not yet discovered."" 
Though it was hailed at publication for its groundbreaking use of black idiom, what is most striking about Go Tell It on the Mountaintoday is its structure and its scope. In peeling back the layers of these damaged lives, Baldwin dramatizes the story of the great black migration from rural South to urban North. ""Behind them was the darkness,"" Baldwin writes of Gabriel and Elizabeth's lost generation, ""nothing but the darkness, and all around them destruction, and before them nothing but the fire--a bastard people, far from God, singing and crying in the wilderness!"" This is Baldwin's music--a music in which rhapsody is rooted anguish--and there is none finer in American literature. --David Laskin",eng
18686959,Naughty Tricks and Sinful Treats,"Bitten by Night - Milly Taiden:
When a wolf hunts for his mate, he'll lay claim and take her for life. But Royce Night never thought Kiara Cruz would be both his biggest chase and the sexiest woman he'd ever had. She's in heat and he's on the prowl. And he definitely didn't think he'd tangle with a tigress for a dance at an alpha love.
Pranks & Spanks - Rachel Firasek:
No devil should be without his dark angel. Graham Taiden had great plans to torture, Allison McAnders, all through the night, but his sweet sub had a different plan of action. She's tired of their on-again off-again relationship and ready to lead him to the next level or call a halt to their role playing. Together, through the language of lovers, they'll reach a truce or risk losing the battle between heaven and hell.
His Naughty Succubus - Jennifer James:
Ghost hunter Liam MacDonnell has decided to do a special Halloween investigation on an infamous haunted house. He's hard up for some action of the ghostly kind, and is looking for a sure thing. Lucky for him, cursed succubus Trinity Bell is waiting for him, and has a special assignment only he can bring to completion.
Seduced by Day - April Angel:
It takes two to tango, but three's never a crowd. When twin brothers, Bryan and Brent Day set their sights on Stephanie Almonte, their partner's secretary, they won't be deterred from the task of capturing her heart. With a wicked sense of curiosity, and kill-me bits of a dress, Stephanie explores the haunted mansion that sets the tone for their corporate Halloween party. She's in for the shock of her life when she finds out that the men she's panted after for months have arranged for a sweet seduction to claim her body and her future.
Her Wicked Bassist - Jennifer James:
The bad news: This Halloween, Holly Darling's sorority is having their annual fundraiser in a haunted house, and she's freakin' terrified.
The good news: Hot bassist Zander Phillips is performing with his band Wicked Lovely, and he's got her back, front, and every other body part in between covered.",eng
14624853,"Guilty Pleasures (Anita Blake, Vampire Hunter, #1)","In the novel that introduces Anita Blake, Vampire Hunter, the monster she's sworn to kill becomes the man she can't live without...",eng
15832505,All the Bad Circles,"Welcome to the peculiar, and the mysterious. Welcome to a guilty father's letter to his estranged son explaining the passage of his childhood. Roll up for murder at a race track, to bodily functions at art installations, deranged shadows, and body doubles. Come and see Michael Jackson like you've never seen him before. Watch people moving between death and love, Indian salesmen in life-changing circumstances, people losing themselves, finding themselves, getting revenge, and discovering the beauty of life. But now you're inside, whatever you do, do not leave the circle. A collection of previously published stories, and new tales collected for the first time, All the Bad Circles is an important collection from an exciting new voice.",eng
